"","reference_contig","position","variable","value"
"1","KC677631",191,"FET_2.3",0
"2","KC677631",309,"FET_2.3",0
"3","KC677631",373,"FET_2.3",0
"4","KC677631",432,"FET_2.3",0
"5","KC677631",456,"FET_2.3",0.301
"6","KC677631",485,"FET_2.3",0.365
"7","KC677631",510,"FET_2.3",0
"8","KC677631",514,"FET_2.3",2.603
"9","KC677631",516,"FET_2.3",0
"10","KC677631",554,"FET_2.3",2.441
"11","KC677631",560,"FET_2.3",0
"12","KC677631",565,"FET_2.3",0
"13","KC677631",671,"FET_2.3",0
"14","KC677631",733,"FET_2.3",0
"15","KC677631",765,"FET_2.3",0.309
"16","KC677631",787,"FET_2.3",0
"17","KC677631",801,"FET_2.3",0
"18","KC677631",810,"FET_2.3",1.329
"19","KC677631",850,"FET_2.3",2.383
"20","KC677631",859,"FET_2.3",0
"21","KC677631",890,"FET_2.3",0
"22","KC677631",892,"FET_2.3",0
"23","KC677631",897,"FET_2.3",0.302
"24","KC677631",934,"FET_2.3",0.609
"25","KC677631",997,"FET_2.3",0
"26","KC677631",998,"FET_2.3",2.146
"27","KC677631",1009,"FET_2.3",1.08
"28","KC677631",1011,"FET_2.3",0
"29","KC677631",1024,"FET_2.3",0
"30","KC677631",1032,"FET_2.3",0
"31","KC677631",1037,"FET_2.3",0
"32","KC677631",1063,"FET_2.3",3.052
"33","KC677631",1065,"FET_2.3",0
"34","KC677631",1082,"FET_2.3",0
"35","KC677631",1095,"FET_2.3",0
"36","KC677631",1121,"FET_2.3",0
"37","KC677631",1154,"FET_2.3",0
"38","KC677631",1196,"FET_2.3",0
"39","KC677631",1201,"FET_2.3",0
"40","KC677631",1249,"FET_2.3",0
"41","KC677631",1260,"FET_2.3",0
"42","KC677631",1272,"FET_2.3",0
"43","KC677631",1275,"FET_2.3",0.3
"44","KC677631",1296,"FET_2.3",0
"45","KC677631",1301,"FET_2.3",0
"46","KC677631",1356,"FET_2.3",1.6
"47","KC677631",1398,"FET_2.3",0
"48","KC677631",1433,"FET_2.3",0.13
"49","KC677631",1476,"FET_2.3",0
"50","KC677631",1533,"FET_2.3",0
"51","KC677631",1551,"FET_2.3",0
"52","KC677631",1555,"FET_2.3",0.699
"53","KC677631",1561,"FET_2.3",0.324
"54","KC677631",1566,"FET_2.3",3.014
"55","KC677631",1582,"FET_2.3",0
"56","KC677631",1652,"FET_2.3",0
"57","KC677631",1671,"FET_2.3",0
"58","KC677631",1701,"FET_2.3",0
"59","KC677631",1708,"FET_2.3",0
"60","KC677631",1790,"FET_2.3",0
"61","KC677631",1792,"FET_2.3",0.303
"62","KC677631",1797,"FET_2.3",0
"63","KC677631",1819,"FET_2.3",0
"64","KC677631",1827,"FET_2.3",1.393
"65","KC677631",1881,"FET_2.3",0
"66","KC677631",1897,"FET_2.3",0
"67","KC677631",1899,"FET_2.3",0
"68","KC677631",1912,"FET_2.3",0
"69","KC677631",1914,"FET_2.3",0
"70","KC677631",1921,"FET_2.3",2.891
"71","KC677631",1922,"FET_2.3",0
"72","KC677631",1933,"FET_2.3",1.664
"73","KC677631",2071,"FET_2.3",0.813
"74","KC677631",2109,"FET_2.3",0
"75","KC677631",2111,"FET_2.3",0
"76","KC677631",2126,"FET_2.3",0
"77","KC677631",2144,"FET_2.3",0
"78","KC677631",2225,"FET_2.3",0
"79","KC677631",2240,"FET_2.3",1.462
"80","KC677631",2292,"FET_2.3",0
"81","KC677631",2314,"FET_2.3",0
"82","KC677631",2329,"FET_2.3",0
"83","KC677631",2340,"FET_2.3",0
"84","KC677631",2439,"FET_2.3",0.906
"85","KC677631",2514,"FET_2.3",0
"86","KC677631",2561,"FET_2.3",0
"87","KC677631",2565,"FET_2.3",0
"88","KC677631",2601,"FET_2.3",0
"89","KC677631",2608,"FET_2.3",0
"90","KC677631",2648,"FET_2.3",0
"91","KC677631",2665,"FET_2.3",0
"92","KC677631",2762,"FET_2.3",0
"93","KC677631",2781,"FET_2.3",0
"94","KC677631",2788,"FET_2.3",0
"95","KC677631",2796,"FET_2.3",0
"96","KC677631",2855,"FET_2.3",0.297
"97","KC677631",2862,"FET_2.3",0
"98","KC677631",2868,"FET_2.3",0.345
"99","KC677631",2955,"FET_2.3",0
"100","KC677631",2976,"FET_2.3",2.747
"101","KC677631",2979,"FET_2.3",0
"102","KC677631",2986,"FET_2.3",0
"103","KC677631",2990,"FET_2.3",1.952
"104","KC677631",3000,"FET_2.3",0.362
"105","KC677631",3017,"FET_2.3",0
"106","KC677631",3057,"FET_2.3",0
"107","KC677631",3068,"FET_2.3",0
"108","KC677631",3080,"FET_2.3",0
"109","KC677631",3110,"FET_2.3",2.032
"110","KC677631",3136,"FET_2.3",0
"111","KC677631",3204,"FET_2.3",0
"112","KC677631",3214,"FET_2.3",0.308
"113","KC677631",3230,"FET_2.3",0
"114","KC677631",3246,"FET_2.3",0
"115","KC677631",3305,"FET_2.3",0
